imdb_title_id,avg_vote,knn_3,knn_6,knn_10,knn_20,knn_40,mlp_200,svr_200,baysRidge_200,mlp_400,svr_400,baysRidge_400,mlp_600,svr_600,baysRidge_600,,knn10 MSE,knn3 MSE,mlp_600 MSE,svr_600 MSE,baysRidge_600 MSE
tt0114366,4.2,6.6,6.15,6.4473843,6.022306639,5.947052141,5.402717556,5.38724683,5.192062527,5.270779905,5.447583125,5.192062527,5.270779905,5.144083514,5.192062527,,2.2473843,2.4,1.070779905,0.944083514,0.992062527
tt0098641,6.5,6.8,7.036254219,6.839629651,6.403507368,6.078892888,5.464856095,5.38724683,5.393632212,5.448852582,5.447583125,5.393632212,5.448852582,5.468604454,5.393632212,,0.339629651,0.3,1.051147418,1.031395546,1.106367788
tt0103253,5.6,5.9,6.35,6.28,6.388762259,6.15306722,5.890966781,5.38724683,5.976360135,6.027356287,5.447583125,5.976360135,6.027356287,5.551921159,5.976360135,,0.68,0.3,0.427356287,0.048078841,0.376360135
tt0107164,5.5,6.133333333,6.516666667,5.82,5.982761092,5.818539186,5.489625917,4.615955035,5.479839511,5.555947196,5.152827454,5.479839511,5.555947196,5.143478428,5.479839511,,0.32,0.633333333,0.055947196,0.356521572,0.020160489
tt0097298,2.7,6.366666667,5.5,5.87,6.09,5.958191036,5.655189196,5.305612688,5.447201652,5.645607342,4.648300854,5.447201652,5.645607342,4.555099887,5.447201652,,3.17,3.666666667,2.945607342,1.855099887,2.747201652
tt0084117,6.8,5.566666667,5.516666667,5.69,5.789081934,5.721851738,4.965870312,5.38724683,5.215498095,4.914903228,5.323855406,5.215498095,4.914903228,5.03214114,5.215498095,,1.11,1.233333333,1.885096772,1.76785886,1.584501905
tt0083331,6.3,5.413938769,5.632129831,6.030328586,6.326832407,6.255758076,6.18196255,5.72056511,6.51401173,6.513021993,5.857164614,6.51401173,6.513021993,5.857903932,6.51401173,,0.269671414,0.886061231,0.213021993,0.442096068,0.21401173
tt0094008,6.1,5.966666667,6.2,6.33,6.3,6.195239711,6.115636725,6.198773649,6.32197549,6.320145418,6.28526634,6.32197549,6.320145418,6.287104912,6.32197549,,0.23,0.133333333,0.220145418,0.187104912,0.22197549
tt0086974,5.3,6.733333333,6.5,6.677608503,6.307765095,6.028973972,5.431724082,5.38724683,5.837212813,5.548894996,5.640840063,5.837212813,5.548894996,5.661861392,5.837212813,,1.377608503,1.433333333,0.248894996,0.361861392,0.537212813
tt0088073,4.8,5.433333333,5.733333333,5.94,6.056174256,5.998002968,5.543197298,5.547898274,5.906800664,5.692327492,5.608234569,5.906800664,5.692327492,5.918698914,5.906800664,,1.14,0.633333333,0.892327492,1.118698914,1.106800664
tt0093493,5.9,5.233333333,5.366666667,5.89,6.055,5.990192479,5.612160848,5.024838202,5.439577123,5.559915802,5.410299445,5.439577123,5.559915802,5.498945312,5.439577123,,0.01,0.666666667,0.340084198,0.401054688,0.460422877
tt0114003,4.3,5.433333333,5.516666667,5.9,5.743154207,5.629642782,5.277745012,5.38724683,4.935956699,5.089273443,5.23582217,4.935956699,5.089273443,5.256843499,4.935956699,,1.6,1.133333333,0.789273443,0.956843499,0.635956699
tt0107571,4.3,6.566666667,6.933333333,6.739326689,6.322378873,5.685078404,5.564901108,5.38724683,5.511327549,5.609114413,5.447583125,5.511327549,5.609114413,5.468604454,5.511327549,,2.439326689,2.266666667,1.309114413,1.168604454,1.211327549
tt0083793,3.4,6.033333333,5.633333333,6.060512577,6.221955337,6.01454314,5.136046483,5.38724683,5.078308318,5.007624782,5.21652664,5.078308318,5.007624782,5.048608295,5.078308318,,2.660512577,2.633333333,1.607624782,1.648608295,1.678308318
tt0092272,6.2,6.3,6.4,6.24,6.12,6.012563273,5.658169961,5.699211407,5.869593705,5.735954705,5.326826234,5.869593705,5.735954705,5.533427425,5.869593705,,0.04,0.1,0.464045295,0.666572575,0.330406295
tt0096378,5.7,6.3,6.616666667,6.672351916,6.213402105,5.814144983,5.60165171,5.38724683,5.579238689,5.645677678,6.19019529,5.579238689,5.645677678,6.21121662,5.579238689,,0.972351916,0.6,0.054322322,0.51121662,0.120761311
tt0090627,4.6,6.8,7.036254219,6.839629651,6.403507368,6.078892888,5.313157628,5.38724683,5.393632212,5.261787766,5.447583125,5.393632212,5.261787766,5.468604454,5.393632212,,2.239629651,2.2,0.661787766,0.868604454,0.793632212
tt0099731,6,6.066666667,6.25,6.31,6.285,6.225417733,6.090646646,5.38724683,6.166737715,6.275589695,5.593810772,6.166737715,6.275589695,5.462838603,6.166737715,,0.31,0.066666667,0.275589695,0.537161397,0.166737715
tt0087739,3.7,6.366666667,6.016666667,6.323095987,6.061897447,5.853739922,5.457908582,5.38724683,5.012855003,5.389190249,5.157046373,5.012855003,5.389190249,5.178067702,5.012855003,,2.623095987,2.666666667,1.689190249,1.478067702,1.312855003
tt0085994,6.2,6.7,6.5,6.4,6.045,6.201028522,5.886640805,5.528039726,6.146210564,6.050136304,5.722797466,6.146210564,6.050136304,5.633506998,6.146210564,,0.2,0.5,0.149863696,0.566493002,0.053789436
tt0104839,6,6.566666667,6.033333333,6.43,6.418042278,6.071653535,5.813000229,5.502734117,5.658170387,5.892585319,5.433196611,5.658170387,5.892585319,5.45421794,5.658170387,,0.43,0.566666667,0.107414681,0.54578206,0.341829613
tt0084090,3.9,6.5,6.9,6.718715103,6.213162847,6.013289537,5.472367737,5.38724683,5.438161319,5.477221869,5.447583125,5.438161319,5.477221869,5.468604454,5.438161319,,2.818715103,2.6,1.577221869,1.568604454,1.538161319
tt0093582,4,6.733333333,6.833333333,6.696574551,6.196206976,5.798936607,5.287493947,5.38724683,5.487254217,5.266238778,5.447583125,5.487254217,5.266238778,5.468604454,5.487254217,,2.696574551,2.733333333,1.266238778,1.468604454,1.487254217
tt0086346,5.5,6.6,6.816666667,6.42,6.412686018,6.12725393,5.675769012,5.546022734,5.856609617,5.809866218,5.606359029,5.856609617,5.809866218,5.627380358,5.856609617,,0.92,1.1,0.309866218,0.127380358,0.356609617
tt0089036,4.8,6.8,5.733333333,6.14849406,5.87385572,5.627117377,5.339316453,4.687781301,4.872057528,5.165801775,4.748117596,4.872057528,5.165801775,4.769138925,4.872057528,,1.34849406,2,0.365801775,0.030861075,0.072057528
tt0112281,6.4,6.666666667,6.3,6.556711692,6.386381723,5.759025029,5.486487369,5.38724683,5.339856748,5.375954541,5.300493074,5.339856748,5.375954541,5.321514403,5.339856748,,0.156711692,0.266666667,1.024045459,1.078485597,1.060143252
tt0109099,5.7,5.533333333,5.383333333,5.52,5.867217237,5.797052631,5.399379,5.226261716,5.202569637,5.410629573,5.245740315,5.202569637,5.410629573,5.201486049,5.202569637,,0.18,0.166666667,0.289370427,0.498513951,0.497430363
tt0093737,5.3,4.9,5.3,5.77,5.9,5.983377056,5.67012486,5.313169383,5.67378741,5.742587365,5.279847785,5.67378741,5.742587365,5.334345942,5.67378741,,0.47,0.4,0.442587365,0.034345942,0.37378741
tt0094631,6.3,6.3,6.65,6.4,6.445,6.141433406,6.132366214,6.486041966,5.958989833,6.404196324,5.992823983,5.958989833,6.404196324,5.805169733,5.958989833,,0.1,0,0.104196324,0.494830267,0.341010167
tt0099740,6,7.133333333,6.4,6.496263286,6.198694276,5.823779908,5.441434404,5.38724683,5.483711963,5.458048277,5.447583125,5.483711963,5.458048277,5.888909104,5.483711963,,0.496263286,1.133333333,0.541951723,0.111090896,0.516288037
tt0098346,4.5,6.8,7.036254219,6.839629651,6.403507368,6.078892888,5.455475239,5.38724683,5.393632212,5.438067108,5.447583125,5.393632212,5.438067108,5.468604454,5.393632212,,2.339629651,2.3,0.938067108,0.968604454,0.893632212
tt0112362,7,6.733333333,6.416666667,6.4,6.488101371,6.21164121,6.042615284,5.275453206,5.855457027,6.199671324,5.543255706,5.855457027,6.199671324,5.617434249,5.855457027,,0.6,0.266666667,0.800328676,1.382565751,1.144542973
tt0110432,3.5,6.7,6.483333333,6.590531078,6.384412473,5.830441022,5.385614746,5.38724683,5.26546469,5.343347964,5.447583125,5.26546469,5.343347964,5.468604454,5.26546469,,3.090531078,3.2,1.843347964,1.968604454,1.76546469
tt0105898,2.9,6.8,7.036254219,6.839629651,6.403507368,6.078892888,5.551290378,5.38724683,5.393632212,5.558010438,5.447583125,5.393632212,5.558010438,5.468604454,5.393632212,,3.939629651,3.9,2.658010438,2.568604454,2.493632212
